"client_id";"birth_number";"district_id"; Age; Gender;
1;"706213";18;47;female
2;"450204";1;72;male
3;"406009";1;77;female
4;"561201";5;61;male
5;"605703";5;57;female
6;"190922";12;98;male
7;"290125";15;88;male
8;"385221";51;79;female
9;"351016";60;82;male
10;"430501";57;74;male
11;"505822";57;67;female
12;"810220";40;36;male
13;"745529";54;43;female
14;"425622";76;75;female
15;"185828";21;99;female
16;"190225";21;98;male
17;"341013";76;83;male
18;"315405";76;86;female
19;"421228";47;75;male
20;"790104";46;38;male
21;"526029";12;65;female
22;"696011";1;48;female
23;"730529";1;44;male
24;"395729";43;78;female
25;"395423";21;78;female
26;"695420";74;48;female
27;"665326";54;51;female
28;"450929";1;72;male
29;"515911";30;66;female
30;"576009";74;60;female
31;"620209";68;55;male
32;"800728";52;37;male
33;"486204";73;69;female
36;"785717";7;39;female
37;"700810";7;47;male
38;"735723";36;44;female
39;"680125";68;49;male
40;"575122";5;60;female
41;"680827";22;49;male
42;"350817";68;82;male
43;"201028";75;97;male
44;"775111";38;40;female
45;"520826";20;65;male
46;"405130";19;77;female
47;"340714";76;83;male
48;"400209";16;77;male
49;"595511";72;58;female
50;"785730";39;39;female
51;"796202";36;38;female
52;"241212";32;93;male
53;"770505";64;40;male
55;"485918";45;69;female
56;"600331";21;57;male
57;"616217";21;56;female
58;"275429";1;90;female
59;"570218";1;60;male
60;"800219";67;37;male
61;"485806";16;69;female
62;"321208";77;85;male
63;"590604";4;58;male
64;"260422";20;91;male
65;"435527";50;74;female
66;"516110";1;66;female
67;"326111";29;85;female
68;"461214";43;71;male
70;"251222";70;92;male
71;"275206";70;90;female
72;"230113";47;94;male
73;"240220";22;93;male
74;"255726";22;92;female
75;"775919";64;40;female
76;"676001";36;50;female
77;"565218";1;61;female
78;"445613";16;73;female
79;"695310";37;48;female
80;"795225";64;38;female
81;"760429";8;41;male
82;"796225";8;38;female
83;"786225";1;39;female
84;"790505";1;38;male
85;"610827";1;56;male
86;"695720";1;48;female
87;"466117";72;71;female
89;"515505";1;66;female
90;"750817";52;42;male
91;"400807";63;77;male
92;"665612";74;51;female
93;"250216";3;92;male
94;"470909";43;70;male
95;"525803";43;65;female
96;"720229";74;45;male
97;"651128";26;52;male
98;"735504";33;44;female
99;"730126";33;44;male
100;"425811";44;75;female
101;"430123";68;74;male
102;"585910";74;59;female
103;"550711";74;62;male
105;"800526";31;37;male
106;"686230";68;49;female
107;"720623";1;45;male
108;"630913";17;54;male
110;"675413";2;50;female
112;"350125";1;82;male
113;"405815";1;77;female
114;"695624";74;48;female
115;"691224";74;48;male
116;"420128";74;75;male
117;"365920";74;81;female
118;"220719";55;95;male
119;"225228";55;95;female
120;"760510";1;41;male
121;"786029";41;39;female
122;"636113";35;54;female
123;"690212";11;48;male
124;"670921";44;50;male
125;"361031";37;81;male
126;"295927";37;88;female
127;"506227";21;67;female
128;"735404";63;44;female
129;"475531";64;70;female
130;"420214";53;75;male
131;"775131";53;40;female
132;"530126";36;64;male
134;"320118";6;85;male
135;"385910";6;79;female
136;"215126";55;96;female
137;"230914";60;94;male
138;"726021";54;45;female
139;"595725";8;58;female
140;"610606";8;56;male
141;"251102";31;92;male
142;"370621";68;80;male
143;"780709";27;39;male
144;"581206";65;59;male
145;"780214";55;39;male
